EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,Attrition,YearsAtCompany,YearsInCurrentRole,Education,EducationField,MaritalStatus,OverTime,DistanceFromHome,BusinessTravel,HireDate
E1001,37,Male,Research & Development,Research Scientist,8682,No,7,1,5,Human Resources,Single,Yes,8,Travel_Rarely,2018-10-23
E1002,34,Female,Human Resources,HR Manager,6420,Yes,9,0,3,Life Sciences,Single,Yes,25,Travel_Rarely,2016-08-13
E1003,49,Male,Research & Development,Research Scientist,8556,Yes,12,4,3,Life Sciences,Single,Yes,8,Non-Travel,2015-10-10
E1004,30,Female,Research & Development,Manufacturing Director,9040,No,5,5,2,Medical,Married,Yes,24,Travel_Rarely,2020-09-16
E1005,40,Male,Human Resources,HR Executive,8073,No,7,5,3,Medical,Divorced,No,19,Travel_Rarely,2018-12-17
E1006,28,Male,Research & Development,Manufacturing Director,9527,No,8,4,5,Technical Degree,Single,No,5,Travel_Frequently,2017-04-02
E1007,47,Male,Sales,Sales Executive,7702,No,12,7,5,Marketing,Divorced,Yes,29,Travel_Rarely,2015-11-02
E1008,36,Male,Sales,Sales Executive,7579,Yes,16,9,5,Life Sciences,Divorced,Yes,25,Travel_Rarely,2015-11-17
E1009,35,Male,IT,IT Manager,8701,No,7,1,2,Medical,Divorced,No,18,Travel_Rarely,2018-03-18
E1010,47,Male,Sales,Sales Manager,10159,No,17,9,2,Medical,Single,No,4,Travel_Rarely,2015-04-13
E1011,20,Male,Sales,Sales Executive,4041,No,0,0,3,Other,Married,Yes,8,Travel_Rarely,2025-09-05
E1012,35,Female,IT,System Administrator,8353,Yes,13,1,1,Other,Divorced,No,24,Non-Travel,2015-02-18
E1013,26,Male,Research & Development,Manufacturing Director,6921,No,1,1,1,Technical Degree,Divorced,No,28,Travel_Rarely,2024-09-25
E1014,35,Male,Finance,Financial Analyst,11471,No,13,3,3,Technical Degree,Married,Yes,13,Travel_Rarely,2015-09-04
